Date,Tesla,BTC
1/4/2021,729.77002,31971.91406
1/5/2021,735.109985,33992.42969
1/6/2021,755.97998,36824.36328
1/7/2021,816.039978,39371.04297
1/8/2021,880.02002,40797.60938
1/11/2021,811.190002,35566.65625
1/12/2021,849.440002,33922.96094
1/13/2021,854.409973,37316.35938
1/14/2021,845,39187.32813
1/15/2021,826.159973,36825.36719
1/19/2021,844.549988,36069.80469
1/20/2021,850.450012,35547.75
1/21/2021,844.98999,30825.69922
1/22/2021,846.640015,33005.76172
1/25/2021,880.799988,32366.39258
1/26/2021,883.090027,32569.84961
1/27/2021,864.159973,30432.54688
1/28/2021,835.429993,33466.09766
1/29/2021,793.530029,34316.38672
2/1/2021,839.809998,33537.17578
2/2/2021,872.789978,35510.28906
2/3/2021,854.690002,37472.08984
2/4/2021,849.98999,36926.06641
2/5/2021,852.22998,38144.30859
2/8/2021,863.419983,46196.46484
2/9/2021,849.460022,46481.10547
2/10/2021,804.820007,44918.18359
2/11/2021,811.659973,47909.33203
2/12/2021,816.119995,47504.85156
2/16/2021,796.219971,49199.87109
2/17/2021,798.150024,52149.00781
2/18/2021,787.380005,51679.79688
2/19/2021,781.299988,55888.13281
2/22/2021,714.5,54207.32031
2/23/2021,698.840027,48824.42578
2/24/2021,742.02002,49705.33203
2/25/2021,682.219971,47093.85156
2/26/2021,675.5,46339.76172
3/1/2021,718.429993,49631.24219
3/2/2021,686.440002,48378.98828
3/3/2021,653.200012,50538.24219
3/4/2021,621.440002,48561.16797
3/5/2021,597.950012,48927.30469
3/8/2021,563,52246.52344
3/9/2021,673.580017,54824.11719
3/10/2021,668.059998,56008.55078
3/11/2021,699.599976,57805.12109
3/12/2021,693.72998,57332.08984
3/15/2021,707.940002,55907.19922
3/16/2021,676.880005,56804.90234
3/17/2021,701.809998,58870.89453
3/18/2021,653.159973,57858.92188
3/19/2021,654.869995,58346.65234
3/22/2021,670,54529.14453
3/23/2021,662.159973,54738.94531
3/24/2021,630.27002,52774.26563
3/25/2021,640.390015,51704.16016
3/26/2021,618.710022,55137.3125
3/29/2021,611.289978,57750.19922
3/30/2021,635.619995,58917.69141
3/31/2021,667.929993,58918.83203
4/1/2021,661.75,59095.80859
4/5/2021,691.049988,59057.87891
4/6/2021,691.619995,58192.35938
4/7/2021,670.969971,56048.9375
4/8/2021,683.799988,58323.95313
4/9/2021,677.02002,58245.00391
4/12/2021,701.97998,59893.45313
4/13/2021,762.320007,63503.45703
4/14/2021,732.22998,63109.69531
4/15/2021,738.849976,63314.01172
4/16/2021,739.780029,61572.78906
4/19/2021,714.630005,55724.26563
4/20/2021,718.98999,56473.03125
4/21/2021,744.119995,53906.08984
4/22/2021,719.690002,51762.27344
4/23/2021,729.400024,51093.65234
4/26/2021,738.200012,54021.75391
4/27/2021,704.73999,55033.11719
4/28/2021,694.400024,54824.70313
4/29/2021,677,53555.10938
4/30/2021,709.440002,57750.17578
5/3/2021,684.900024,57200.29297
5/4/2021,673.599976,53333.53906
5/5/2021,670.940002,57424.00781
5/6/2021,663.539978,56396.51563
5/7/2021,672.369995,57356.40234
5/10/2021,629.039978,55859.79688
5/11/2021,617.200012,56704.57422
5/12/2021,589.890015,49150.53516
5/13/2021,571.690002,49716.19141
5/14/2021,589.73999,49880.53516
5/17/2021,576.830017,43537.51172
5/18/2021,577.869995,42909.40234
5/19/2021,563.460022,37002.44141
5/20/2021,586.780029,40782.73828
5/21/2021,580.880005,37304.69141
5/24/2021,606.440002,38705.98047
5/25/2021,604.690002,38402.22266
5/26/2021,619.130005,39294.19922
5/27/2021,630.849976,38436.96875
5/28/2021,625.219971,35697.60547
6/1/2021,623.900024,36684.92578
6/2/2021,605.119995,37575.17969
6/3/2021,572.840027,39208.76563
6/4/2021,599.049988,36894.40625
6/7/2021,605.130005,33560.70703
6/8/2021,603.590027,33472.63281
6/9/2021,598.780029,37345.12109
6/10/2021,610.119995,36702.59766
6/11/2021,609.890015,37334.39844
6/14/2021,617.690002,40218.47656
6/15/2021,599.359985,40406.26953
6/16/2021,604.869995,38347.0625
6/17/2021,616.599976,38053.50391
6/18/2021,623.309998,35787.24609
6/21/2021,620.830017,31676.69336
6/22/2021,623.710022,32505.66016
6/23/2021,656.570007,33723.02734
6/24/2021,679.820007,34662.4375
6/25/2021,671.869995,31637.7793
6/28/2021,688.719971,34434.33594
6/29/2021,680.76001,35867.77734
6/30/2021,679.700012,35040.83594
7/1/2021,677.919983,33572.11719
7/2/2021,678.900024,33897.04688
7/6/2021,659.580017,34235.19531
7/7/2021,644.650024,33855.32813
7/8/2021,652.809998,32877.37109
7/9/2021,656.950012,33798.01172
7/12/2021,685.700012,33155.84766
7/13/2021,668.539978,32702.02539
7/14/2021,653.380005,32822.34766
7/15/2021,650.599976,31780.73047
7/16/2021,644.219971,31421.53906
7/19/2021,646.219971,30817.83203
7/20/2021,660.5,29807.34766
7/21/2021,655.289978,32110.69336
7/22/2021,649.26001,32313.10547
7/23/2021,643.380005,33581.55078
7/26/2021,657.619995,37337.53516
7/27/2021,644.780029,39406.94141
7/28/2021,646.97998,39995.90625
7/29/2021,677.349976,40008.42188
7/30/2021,687.200012,42235.54688
8/2/2021,709.669983,39201.94531
8/3/2021,709.73999,38152.98047
8/4/2021,710.919983,39747.50391
8/5/2021,714.630005,40869.55469
8/6/2021,699.099976,42816.5
8/9/2021,713.76001,46365.40234
8/10/2021,709.98999,45585.03125
8/11/2021,707.820007,45593.63672
8/12/2021,722.25,44428.28906
8/13/2021,717.169983,47793.32031
8/16/2021,686.169983,46004.48438
8/17/2021,665.710022,44695.35938
8/18/2021,688.98999,44801.1875
8/19/2021,673.469971,46717.57813
8/20/2021,680.26001,49339.17578
8/23/2021,706.299988,49546.14844
8/24/2021,708.48999,47706.11719
8/25/2021,711.200012,48960.78906
8/26/2021,701.159973,46942.21875
8/27/2021,711.919983,49058.66797
8/30/2021,730.909973,47054.98438
8/31/2021,735.719971,47166.6875
9/1/2021,734.090027,48847.02734
9/2/2021,732.390015,49327.72266
9/3/2021,733.570007,50025.375
9/7/2021,752.919983,46811.12891
9/8/2021,753.869995,46091.39063
9/9/2021,754.859985,46391.42188
9/10/2021,736.27002,44883.91016
9/13/2021,743,44963.07422
9/14/2021,744.48999,47092.49219
9/15/2021,755.830017,48176.34766
9/16/2021,756.98999,47783.35938
9/17/2021,759.48999,47267.51953
9/20/2021,730.169983,42843.80078
9/21/2021,739.380005,40693.67578
9/22/2021,751.940002,43574.50781
9/23/2021,753.640015,44895.09766
9/24/2021,774.390015,42839.75
9/27/2021,791.359985,42235.73047
9/28/2021,777.559998,41034.54297
9/29/2021,781.309998,41564.36328
9/30/2021,775.47998,43790.89453
10/1/2021,775.219971,48116.94141
10/4/2021,781.530029,49112.90234
10/5/2021,780.590027,51514.8125
10/6/2021,782.75,55361.44922
10/7/2021,793.609985,53805.98438
10/8/2021,785.48999,53967.84766
10/11/2021,791.940002,57484.78906
10/12/2021,805.719971,56041.05859
10/13/2021,811.080017,57401.09766
10/14/2021,818.320007,57321.52344
10/15/2021,843.030029,61593.94922
10/16/2021,870.109985,60892.17969
10/17/2021,864.27002,61553.61719
10/18/2021,865.799988,62026.07813
10/19/2021,894,64261.99219
10/20/2021,909.679993,65992.83594
10/21/2021,1024.859985,62210.17188
10/22/2021,1018.429993,60692.26563
10/23/2021,1037.859985,61393.61719
10/24/2021,1077.040039,60930.83594
10/25/2021,1114,63039.82422
10/26/2021,1208.589966,60363.79297
10/27/2021,1172,58482.38672
10/28/2021,1213.859985,60622.13672
10/29/2021,1229.910034,62227.96484
10/30/2021,1222.089966,61888.83203
10/31/2021,1162.939941,61318.95703
11/1/2021,1023.5,61004.40625
11/2/2021,1067.949951,63226.40234
11/3/2021,1063.51001,62970.04688
11/4/2021,1033.420044,61452.23047
11/5/2021,1013.390015,61125.67578
11/6/2021,1054.72998,61527.48047
11/7/2021,1089.01001,63326.98828
11/8/2021,1096.380005,67566.82813
11/9/2021,1137.060059,66971.82813
11/10/2021,1156.869995,64995.23047
11/11/2021,1109.030029,64949.96094
11/12/2021,1116,64155.94141
11/13/2021,1081.920044,64469.52734
11/14/2021,1136.98999,65466.83984
11/15/2021,1144.76001,63557.87109
11/16/2021,1095,60161.24609
11/17/2021,1084.599976,60368.01172
11/18/2021,1014.969971,56942.13672
11/19/2021,1009.01001,58119.57813
11/20/2021,1051.75,59697.19531
11/21/2021,1068.959961,58730.47656
11/22/2021,1003.799988,56289.28906
11/23/2021,1017.030029,57569.07422
11/24/2021,966.409973,56280.42578
11/25/2021,958.51001,57274.67969
11/26/2021,975.98999,53569.76563
11/27/2021,926.919983,54815.07813
11/28/2021,932.570007,57248.45703
11/29/2021,899.940002,57806.56641
11/30/2021,938.530029,57005.42578
12/1/2021,1008.869995,57229.82813
12/2/2021,1067,56477.81641
12/3/2021,1093.939941,53598.24609
12/4/2021,1088.469971,49200.70313
12/5/2021,1086.189941,49368.84766
12/6/2021,1070.339966,50582.625
